,Title,US_Gross,Worldwide_Gross,US_DVD_Sales,Production_Budget,Release_Date,MPAA_Rating,Running_Time_min,Distributor,Source,Major_Genre,Creative_Type,Director,Rotten_Tomatoes_Rating,IMDB_Rating,IMDB_Votes,Price sensitivity scores,Income bins,Age
0,The Land Girls,146083.0,146083.0,,8000000.0,Jun 12 1998,R,,Gramercy,,,,,,6.1,1071.0,0.0001921720820400605,61.0,
1,"First Love, Last Rites",10876.0,10876.0,,300000.0,Aug 07 1998,R,,Strand,,Drama,,,,6.9,207.0,1.430737022287123e-05,69.0,
2,I Married a Strange Person,203134.0,203134.0,,250000.0,Aug 28 1998,,,Lionsgate,,Comedy,,,,6.8,865.0,0.00026722263174445797,68.0,
3,Let's Talk About Sex,373615.0,373615.0,,300000.0,Sep 11 1998,,,Fine Line,,Comedy,,,13.0,,,0.0,,13.0
4,Slam,1009819.0,1087521.0,,1000000.0,Oct 09 1998,R,,Trimark,Original Screenplay,Drama,Contemporary Fiction,,62.0,3.4,165.0,0.0013284161724061792,34.0,62.0
5,Mississippi Mermaid,24551.0,2624551.0,,1600000.0,Jan 15 1999,,,MGM,,,,,,,,3.2296822944254466e-05,,
6,Following,44705.0,44705.0,,6000.0,Apr 04 1999,R,,Zeitgeist,,,,Christopher Nolan,,7.7,15133.0,5.8809395532682825e-05,77.0,
7,Foolish,6026908.0,6026908.0,,1600000.0,Apr 09 1999,R,,Artisan,Original Screenplay,Comedy,Contemporary Fiction,,,3.8,353.0,0.007928393164323685,38.0,
8,Pirates,1641825.0,6341825.0,,40000000.0,Jul 01 1986,R,,,,,,Roman Polanski,25.0,5.8,3275.0,0.0021598196134760537,58.0,25.0
9,Duel in the Sun,20400000.0,20400000.0,,6000000.0,Dec 31 2046,,,,,,,,86.0,7.0,2906.0,0.026836185412520513,70.0,86.0
10,Tom Jones,37600000.0,37600000.0,,1000000.0,Oct 07 1963,,,,,,,,81.0,7.0,4035.0,0.04946277311327311,70.0,81.0
11,Oliver!,37402877.0,37402877.0,,10000000.0,Dec 11 1968,,,Sony Pictures,,Musical,,,84.0,7.5,9111.0,0.049203457947730345,75.0,84.0
12,To Kill A Mockingbird,13129846.0,13129846.0,,2000000.0,Dec 25 1962,,,Universal,,,,,97.0,8.4,82786.0,0.017272303024207885,84.0,97.0
13,"Tora, Tora, Tora",29548291.0,29548291.0,,25000000.0,Sep 23 1970,,,,,,,Richard Fleischer,,,,0.03887075568132898,,
14,Hollywood Shuffle,5228617.0,5228617.0,,100000.0,Mar 01 1987,,,,,,,,87.0,6.8,1532.0,0.006878241924659646,68.0,87.0
15,Over the Hill to the Poorhouse,3000000.0,3000000.0,,100000.0,Sep 17 2020,,,,,,,,,,,0.003946497854782428,,
16,Wilson,2000000.0,2000000.0,,5200000.0,Aug 01 2044,,,,,,,,,7.0,451.0,0.0026309985698549526,70.0,
17,Darling Lili,5000000.0,5000000.0,,22000000.0,Jan 01 1970,,,,,,,Blake Edwards,,6.1,858.0,0.006577496424637381,61.0,
18,The Ten Commandments,80000000.0,80000000.0,,13500000.0,Oct 05 1956,,,,,,,,90.0,2.5,1677.0,0.1052399427941981,25.0,90.0
19,12 Angry Men,0.0,0.0,,340000.0,Apr 13 1957,,,United Artists,Original Screenplay,Drama,,Sidney Lumet,,8.9,119101.0,0.0,89.0,
20,Twelve Monkeys,57141459.0,168841459.0,,29000000.0,Dec 27 1995,R,,Universal,Based on Short Film,Drama,Science Fiction,Terry Gilliam,,8.1,169858.0,0.0751695484542127,81.0,
21,1776,0.0,0.0,,4000000.0,Nov 09 1972,PG,,Sony/Columbia,Based on Play,Drama,Historical Fiction,,57.0,7.0,4099.0,0.0,70.0,57.0
22,1941,34175000.0,94875000.0,,32000000.0,Dec 14 1979,,,Universal,Original Screenplay,Comedy,Historical Fiction,Steven Spielberg,33.0,5.6,13364.0,0.0449571880623965,56.0,33.0
23,Chacun sa nuit,18435.0,18435.0,,1900000.0,Jun 29 2007,Not Rated,,Strand,Original Screenplay,Thriller/Suspense,,,,6.3,365.0,2.4251229317638025e-05,63.0,
24,2001: A Space Odyssey,56700000.0,68700000.0,,10500000.0,Apr 02 1968,,,,Original Screenplay,,Science Fiction,Stanley Kubrick,96.0,8.4,160342.0,0.0745888094553879,84.0,96.0
25,"20,000 Leagues Under the Sea",28200000.0,28200000.0,,5000000.0,Dec 23 1954,,,Walt Disney Pictures,Based on Book/Short Story,Adventure,,Richard Fleischer,92.0,,,0.037097079834954826,,92.0
26,"20,000 Leagues Under the Sea",8000000.0,8000000.0,,200000.0,Dec 24 2016,,,,Based on Book/Short Story,Adventure,,,,,,0.01052399427941981,,
27,24 7: Twenty Four Seven,72544.0,72544.0,,2000000.0,Apr 15 1998,R,,October Films,Original Screenplay,Comedy,,Shane Meadows,,6.9,1417.0,9.543158012577884e-05,69.0,
